,title_wiki,title_system,web_link
32,Prueba de conocimientos constitucionales y socioculturales de España,Prueba_de_conocimientos_constitucionales_y_socioculturales_de_España,https://es.wikipedia.org/wiki/Prueba_de_conocimientos_constitucionales_y_socioculturales_de_Espa%C3%B1a
33,Cuenca del Amazonas,Cuenca_del_Amazonas,https://es.wikipedia.org/wiki/Cuenca_del_Amazonas
34,CTOL,CTOL,https://es.wikipedia.org/wiki/CTOL
35,Rec.Sport.Soccer Statistics Foundation,Rec.Sport.Soccer_Statistics_Foundation,https://es.wikipedia.org/wiki/Rec.Sport.Soccer_Statistics_Foundation
36,Comunidad Europea del Carbón y del Acero,Comunidad_Europea_del_Carbón_y_del_Acero,https://es.wikipedia.org/wiki/Comunidad_Europea_del_Carb%C3%B3n_y_del_Acero
37,Federación Internacional de Asociaciones de Productores Cinematográficos,Federación_Internacional_de_Asociaciones_de_Productores_Cinematográficos,https://es.wikipedia.org/wiki/Federaci%C3%B3n_Internacional_de_Asociaciones_de_Productores_Cinematogr%C3%A1ficos
38,The Duff,The_Duff,https://es.wikipedia.org/wiki/The_Duff
39,CIDAC,CIDAC,https://es.wikipedia.org/wiki/CIDAC
40,Unión Internacional de Asociaciones de Alpinismo,Unión_Internacional_de_Asociaciones_de_Alpinismo,https://es.wikipedia.org/wiki/Uni%C3%B3n_Internacional_de_Asociaciones_de_Alpinismo
41,Director ejecutivo,Director_ejecutivo,https://es.wikipedia.org/wiki/Director_ejecutivo
42,Federación Española de Asociaciones de Amigos del Ferrocarril,Federación_Española_de_Asociaciones_de_Amigos_del_Ferrocarril,https://es.wikipedia.org/wiki/Federaci%C3%B3n_Espa%C3%B1ola_de_Asociaciones_de_Amigos_del_Ferrocarril
43,Candenosa,Candenosa,https://es.wikipedia.org/wiki/Candenosa
44,Vídeo bajo demanda,Vídeo_bajo_demanda,https://es.wikipedia.org/wiki/V%C3%ADdeo_bajo_demanda
45,Sistema de Interconexión Bursátil Español,Sistema_de_Interconexión_Bursátil_Español,https://es.wikipedia.org/wiki/Sistema_de_Interconexi%C3%B3n_Burs%C3%A1til_Espa%C3%B1ol
46,Fútbol americano,Fútbol_americano,https://es.wikipedia.org/wiki/F%C3%BAtbol_americano
47,Deborah Frincke,Deborah_Frincke,https://es.wikipedia.org/wiki/Deborah_Frincke
48,AMC (canal de televisión),AMC_(canal_de_televisión),https://es.wikipedia.org/wiki/AMC_(canal_de_televisi%C3%B3n)
49,Compañía de Transmisiones de Puesto de Mando Fijo,Compañía_de_Transmisiones_de_Puesto_de_Mando_Fijo,https://es.wikipedia.org/wiki/Compa%C3%B1%C3%ADa_de_Transmisiones_de_Puesto_de_Mando_Fijo
50,Fondo Monetario Internacional,Fondo_Monetario_Internacional,https://es.wikipedia.org/wiki/Fondo_Monetario_Internacional
51,Parque nacional de Monfragüe,Parque_nacional_de_Monfragüe,https://es.wikipedia.org/wiki/Parque_nacional_de_Monfrag%C3%BCe
52,Cray T3D,Cray_T3D,https://es.wikipedia.org/wiki/Cray_T3D
53,Gestapo,Gestapo,https://es.wikipedia.org/wiki/Gestapo
54,Partido de los Trabajadores (España),Partido_de_los_Trabajadores_(España),https://es.wikipedia.org/wiki/Partido_de_los_Trabajadores_(Espa%C3%B1a)
55,Manifiesto GNU,Manifiesto_GNU,https://es.wikipedia.org/wiki/Manifiesto_GNU
56,Charlie Parsley,Charlie_Parsley,https://es.wikipedia.org/wiki/Charlie_Parsley
57,Procesamiento de lenguajes naturales,Procesamiento_de_lenguajes_naturales,https://es.wikipedia.org/wiki/Procesamiento_de_lenguajes_naturales
58,Lacrosse,Lacrosse,https://es.wikipedia.org/wiki/Lacrosse
59,Elecciones generales de España de 1931,Elecciones_generales_de_España_de_1931,https://es.wikipedia.org/wiki/Elecciones_generales_de_Espa%C3%B1a_de_1931
60,Comisión Nacional de Investigaciones Espaciales,Comisión_Nacional_de_Investigaciones_Espaciales,https://es.wikipedia.org/wiki/Comisi%C3%B3n_Nacional_de_Investigaciones_Espaciales
61,Provincia de Isla de Pascua,Provincia_de_Isla_de_Pascua,https://es.wikipedia.org/wiki/Provincia_de_Isla_de_Pascua
62,AJAX,AJAX,https://es.wikipedia.org/wiki/AJAX
63,Eurozona,Eurozona,https://es.wikipedia.org/wiki/Eurozona
64,Salida del Reino Unido de la Unión Europea,Salida_del_Reino_Unido_de_la_Unión_Europea,https://es.wikipedia.org/wiki/Salida_del_Reino_Unido_de_la_Uni%C3%B3n_Europea
65,Banco Central de Costa Rica,Banco_Central_de_Costa_Rica,https://es.wikipedia.org/wiki/Banco_Central_de_Costa_Rica
66,Nomenclatura IUPAC,Nomenclatura_IUPAC,https://es.wikipedia.org/wiki/Nomenclatura_IUPAC
67,Lipoproteína de alta densidad,Lipoproteína_de_alta_densidad,https://es.wikipedia.org/wiki/Lipoprote%C3%ADna_de_alta_densidad
68,Colección de variedades de cítricos en Riverside,Colección_de_variedades_de_cítricos_en_Riverside,https://es.wikipedia.org/wiki/Colecci%C3%B3n_de_variedades_de_c%C3%ADtricos_en_Riverside
69,Dictablanda de Dámaso Berenguer,Dictablanda_de_Dámaso_Berenguer,https://es.wikipedia.org/wiki/Dictablanda_de_D%C3%A1maso_Berenguer
70,Comisión del Mapa Geológico del Mundo,Comisión_del_Mapa_Geológico_del_Mundo,https://es.wikipedia.org/wiki/Comisi%C3%B3n_del_Mapa_Geol%C3%B3gico_del_Mundo
71,Vitex agnus-castus,Vitex_agnus_castus,https://es.wikipedia.org/wiki/Vitex_agnus-castus
72,Imagen ISO,Imagen_ISO,https://es.wikipedia.org/wiki/Imagen_ISO
73,General Catalogue of Variable Stars,General_Catalogue_of_Variable_Stars,https://es.wikipedia.org/wiki/General_Catalogue_of_Variable_Stars
74,Instituto Nacional de Investigación Espacial del Brasil,Instituto_Nacional_de_Investigación_Espacial_del_Brasil,https://es.wikipedia.org/wiki/Instituto_Nacional_de_Investigaci%C3%B3n_Espacial_del_Brasil
75,Estación Llano,Estación_Llano,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Llano
76,Asociación Internacional de Transporte Aéreo,Asociación_Internacional_de_Transporte_Aéreo,https://es.wikipedia.org/wiki/Asociaci%C3%B3n_Internacional_de_Transporte_A%C3%A9reo
77,Complejo Petroquímico José Antonio Anzoátegui,Complejo_Petroquímico_José_Antonio_Anzoátegui,https://es.wikipedia.org/wiki/Complejo_Petroqu%C3%ADmico_Jos%C3%A9_Antonio_Anzo%C3%A1tegui
78,Julio Aguilar Azañón,Julio_Aguilar_Azañón,https://es.wikipedia.org/wiki/Julio_Aguilar_Aza%C3%B1%C3%B3n
79,Motorola International 3200,Motorola_International_3200,https://es.wikipedia.org/wiki/Motorola_International_3200
80,Estatuto de Autonomía del País Vasco de 1936,Estatuto_de_Autonomía_del_País_Vasco_de_1936,https://es.wikipedia.org/wiki/Estatuto_de_Autonom%C3%ADa_del_Pa%C3%ADs_Vasco_de_1936
81,Mucositis,Mucositis,https://es.wikipedia.org/wiki/Mucositis
82,Fundación Mediterránea,Fundación_Mediterránea,https://es.wikipedia.org/wiki/Fundaci%C3%B3n_Mediterr%C3%A1nea
83,Secure Shell,Secure_Shell,https://es.wikipedia.org/wiki/Secure_Shell
84,Enagás,Enagás,https://es.wikipedia.org/wiki/Enag%C3%A1s
85,Frontera entre Bangladés e India,Frontera_entre_Bangladés_e_India,https://es.wikipedia.org/wiki/Frontera_entre_Banglad%C3%A9s_e_India
86,Invasión estadounidense de Panamá,Invasión_estadounidense_de_Panamá,https://es.wikipedia.org/wiki/Invasi%C3%B3n_estadounidense_de_Panam%C3%A1
87,Sara Davies,Sara_Davies,https://es.wikipedia.org/wiki/Sara_Davies
88,C.O.P.S. (serie animada de televisión),C.O.P.S._(serie_animada_de_televisión),https://es.wikipedia.org/wiki/C.O.P.S._(serie_animada_de_televisi%C3%B3n)
89,Mogeiro,Mogeiro,https://es.wikipedia.org/wiki/Mogeiro
90,Estrecho de Gibraltar,Estrecho_de_Gibraltar,https://es.wikipedia.org/wiki/Estrecho_de_Gibraltar
91,ITF World Tennis Tour,ITF_World_Tennis_Tour,https://es.wikipedia.org/wiki/ITF_World_Tennis_Tour
92,Single Unix Specification,Single_Unix_Specification,https://es.wikipedia.org/wiki/Single_Unix_Specification
93,Organización Mundial del Turismo,Organización_Mundial_del_Turismo,https://es.wikipedia.org/wiki/Organizaci%C3%B3n_Mundial_del_Turismo
94,IMAX,IMAX,https://es.wikipedia.org/wiki/IMAX
95,Seis grados de libertad,Seis_grados_de_libertad,https://es.wikipedia.org/wiki/Seis_grados_de_libertad
96,Banco Interamericano de Desarrollo,Banco_Interamericano_de_Desarrollo,https://es.wikipedia.org/wiki/Banco_Interamericano_de_Desarrollo
97,Producto interno bruto real,Producto_interno_bruto_real,https://es.wikipedia.org/wiki/Producto_interno_bruto_real
98,Ajedrez rápido,Ajedrez_rápido,https://es.wikipedia.org/wiki/Ajedrez_r%C3%A1pido
99,Transportador de glucosa,Transportador_de_glucosa,https://es.wikipedia.org/wiki/Transportador_de_glucosa
